trial_id,neurons_encoder,neurons_decoder
0,"[128, 512, 160, 320]","[416, 256, 288, 320]"
1,"[416, 384]","[32, 288, 320]"
2,"[384, 128]","[160, 352, 128]"
3,"[352, 192, 128, 96]","[64, 64, 128]"
4,"[416, 480, 384, 288]","[288, 288, 64]"
5,"[32, 320, 320]","[224, 512]"
6,"[352, 288, 512, 224]","[416, 192, 512, 512]"
7,"[192, 384, 256]","[384, 32, 64, 224]"
8,"[96, 192, 448, 160]","[512, 32]"
9,"[128, 96, 352]","[32, 64, 64, 64]"
10,"[192, 192]","[128, 512, 448]"
11,"[32, 384, 256]","[320, 320, 480, 64]"
12,"[64, 32, 448, 224]","[288, 512, 288, 448]"
13,"[320, 96]","[160, 256, 32, 448]"
14,"[64, 192, 320, 288]","[416, 416, 224]"
15,"[512, 384]","[256, 192]"
16,"[512, 256, 512, 32]","[512, 160]"
17,"[512, 320, 512]","[352, 160]"
