Tension Elongation (%),Hardness (GPa),Modulus (GPa),Original Feature 1,Original Feature 2,Original Feature 3
25.7,2.62,211.0,29.101702,2.8051548,202.28093
20.8,2.85,222.0,27.815987,2.7335966,199.93073
22.1,2.4,196.0,28.921307,2.7816648,203.95338
19.5,2.31,191.0,28.489965,2.6921015,193.237
18.3,1.82,166.0,23.231922,2.5578222,191.82524
20.5,2.9,215.0,31.424767,2.6706357,199.66574
24.9,2.88,211.0,30.125746,2.8511486,203.42703
14.2,2.15,191.0,29.719934,2.6197622,193.22485
40.1,2.31,182.0,30.389484,2.638113,196.52383
28.1,2.24,205.0,31.023405,2.8690693,203.06744
